Warning: log contains only data that is read by python using read_line. If read_line is not called, data will not be logged! 
 ### Serial Log ### 
[2023-09-30 20:43:29.852440] IN: TIME:29037280
[2023-09-30 20:43:29.852709] IN: TEMP:23.250000
[2023-09-30 20:43:29.868165] IN: LEDTEMP:
[2023-09-30 20:43:29.868397] IN: TIME:30038280
[2023-09-30 20:43:29.868619] IN: TEMP:23.250000
[2023-09-30 20:43:29.884987] IN: LEDTEMP:
[2023-09-30 20:43:29.885174] IN: TIME:31039280
[2023-09-30 20:43:29.885373] IN: TEMP:23.250000
[2023-09-30 20:43:29.899634] IN: LEDTEMP:
[2023-09-30 20:43:29.899766] IN: TIME:32040280
[2023-09-30 20:43:29.899921] IN: TEMP:23.250000
[2023-09-30 20:43:29.915427] IN: LEDTEMP:
[2023-09-30 20:43:29.915557] IN: TIME:33041280
[2023-09-30 20:43:29.915681] IN: TEMP:23.250000
[2023-09-30 20:43:29.932278] IN: LEDTEMP:
[2023-09-30 20:43:29.932467] IN: TIME:34042280
[2023-09-30 20:43:29.932625] IN: TEMP:23.250000
[2023-09-30 20:43:29.948587] IN: LEDTEMP:
[2023-09-30 20:43:29.948816] IN: TIME:35043280
[2023-09-30 20:43:29.949032] IN: TEMP:23.250000
[2023-09-30 20:43:29.964596] IN: resettimestamp
[2023-09-30 20:43:29.965268] IN: >> calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:29.965415] IN: SCHED_OK
[2023-09-30 20:43:29.965492] IN: >>
[2023-09-30 20:43:29.965633] IN: LEDTEMP:
[2023-09-30 20:43:29.965813] IN: TIME:125596
[2023-09-30 20:43:29.966064] IN: TEMP:23.250000
[2023-09-30 20:43:30.477203] IN: LEDTEMP:
[2023-09-30 20:43:30.477340] IN: TIME:1126596
[2023-09-30 20:43:30.477455] IN: TEMP:23.187500
[2023-09-30 20:43:31.478288] IN: LEDTEMP:
[2023-09-30 20:43:31.478439] IN: TIME:2127596
[2023-09-30 20:43:31.478571] IN: TEMP:23.187500
[2023-09-30 20:43:32.479315] IN: LEDTEMP:
[2023-09-30 20:43:32.479535] IN: TIME:3128596
[2023-09-30 20:43:32.479757] IN: TEMP:23.250000
[2023-09-30 20:43:33.480574] IN: LEDTEMP:
[2023-09-30 20:43:33.480811] IN: TIME:4129596
[2023-09-30 20:43:33.481037] IN: TEMP:23.250000
[2023-09-30 20:43:34.481520] IN: LEDTEMP:
[2023-09-30 20:43:34.481765] IN: TIME:5130596
[2023-09-30 20:43:34.482014] IN: TEMP:23.250000
[2023-09-30 20:43:35.482385] IN: LEDTEMP:
[2023-09-30 20:43:35.482520] IN: TIME:6131596
[2023-09-30 20:43:35.482635] IN: TEMP:23.250000
[2023-09-30 20:43:36.483457] IN: LEDTEMP:
[2023-09-30 20:43:36.483683] IN: TIME:7132596
[2023-09-30 20:43:36.483905] IN: TEMP:23.187500
[2023-09-30 20:43:37.484257] IN: LEDTEMP:
[2023-09-30 20:43:37.484370] IN: TIME:8133596
[2023-09-30 20:43:37.484476] IN: TEMP:23.250000
[2023-09-30 20:43:38.485222] IN: LEDTEMP:
[2023-09-30 20:43:38.485352] IN: TIME:9134596
[2023-09-30 20:43:38.485476] IN: TEMP:23.250000
[2023-09-30 20:43:39.351044] IN: [A] per [sun]: 1.000000
[2023-09-30 20:43:39.351167] IN: REQ_SCHED_CMD
[2023-09-30 20:43:39.351209] OUT: calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:39.363608] IN: calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:39.375029] IN: SCHED_OK
[2023-09-30 20:43:39.375173] OUT: setnumavg -n 2000 -sched 11000000
[2023-09-30 20:43:39.375292] IN: >>
[2023-09-30 20:43:39.391268] IN: [A] per [sun]: 1.000000
[2023-09-30 20:43:39.404723] IN: REQ_SCHED_CMD
[2023-09-30 20:43:39.418015] IN: setnumavg -n 2000 -sched 11000000
[2023-09-30 20:43:39.428412] IN: SCHED_OK
[2023-09-30 20:43:39.428523] OUT: setshunt -1x -sched 12000000
[2023-09-30 20:43:39.429485] IN: >> setshunt -1x -sched 12000000
[2023-09-30 20:43:39.440219] IN: SCHED_OK
[2023-09-30 20:43:39.440300] OUT: setforcevolt -v 0.0 -sched 13000000
[2023-09-30 20:43:39.441411] IN: >> setforcevolt -v 0.0 -sched 13000000
[2023-09-30 20:43:39.452517] IN: SCHED_OK
[2023-09-30 20:43:39.452608] OUT: enablecurrent -sched 14000000
[2023-09-30 20:43:39.453542] IN: >> enablecurrent -sched 14000000
[2023-09-30 20:43:39.466392] IN: SCHED_OK
[2023-09-30 20:43:39.466481] OUT: setledillum -illum 1.0 -sched 15000000
[2023-09-30 20:43:39.467542] IN: >> setledillum -illum 1.0 -sched 15000000
[2023-09-30 20:43:39.480417] IN: SCHED_OK
[2023-09-30 20:43:39.480544] OUT: getcurr -sched 16000000
[2023-09-30 20:43:39.486052] IN: >>
[2023-09-30 20:43:39.497550] IN: LEDTEMP:
[2023-09-30 20:43:39.510349] IN: TIME:10135596
[2023-09-30 20:43:39.521709] IN: TEMP:23.187500
[2023-09-30 20:43:39.534732] IN: getcurr -sched 16000000
[2023-09-30 20:43:39.545698] IN: SCHED_OK
[2023-09-30 20:43:39.545799] OUT: getcurr -sched 16500000
[2023-09-30 20:43:39.546816] IN: >> getcurr -sched 16500000
[2023-09-30 20:43:39.559675] IN: SCHED_OK
[2023-09-30 20:43:39.559766] OUT: getcurr -sched 17000000
[2023-09-30 20:43:39.560895] IN: >> getcurr -sched 17000000
[2023-09-30 20:43:39.573901] IN: SCHED_OK
[2023-09-30 20:43:39.573992] OUT: getcurr -sched 17500000
[2023-09-30 20:43:39.575085] IN: >> getcurr -sched 17500000
[2023-09-30 20:43:39.588034] IN: SCHED_OK
[2023-09-30 20:43:39.588213] OUT: getcurr -sched 18000000
[2023-09-30 20:43:39.589499] IN: >> getcurr -sched 18000000
[2023-09-30 20:43:39.601884] IN: SCHED_OK
[2023-09-30 20:43:39.601968] OUT: getcurr -sched 18500000
[2023-09-30 20:43:39.603028] IN: >> getcurr -sched 18500000
[2023-09-30 20:43:39.615797] IN: SCHED_OK
[2023-09-30 20:43:39.615885] OUT: getcurr -sched 19000000
[2023-09-30 20:43:39.616664] IN: >> getcurr -sched 19000000
[2023-09-30 20:43:39.629536] IN: SCHED_OK
[2023-09-30 20:43:39.629652] OUT: getcurr -sched 19500000
[2023-09-30 20:43:39.630582] IN: >> getcurr -sched 19500000
[2023-09-30 20:43:39.643460] IN: SCHED_OK
[2023-09-30 20:43:39.643567] OUT: getcurr -sched 20000000
[2023-09-30 20:43:39.644568] IN: >> getcurr -sched 20000000
[2023-09-30 20:43:39.657033] IN: SCHED_OK
[2023-09-30 20:43:39.657135] OUT: getcurr -sched 20500000
[2023-09-30 20:43:39.658203] IN: >> getcurr -sched 20500000
[2023-09-30 20:43:39.671065] IN: SCHED_OK
[2023-09-30 20:43:39.671175] OUT: getcurr -sched 21000000
[2023-09-30 20:43:39.672476] IN: >> getcurr -sched 21000000
[2023-09-30 20:43:39.685324] IN: SCHED_OK
[2023-09-30 20:43:39.685431] OUT: getcurr -sched 21500000
[2023-09-30 20:43:39.686501] IN: >> getcurr -sched 21500000
[2023-09-30 20:43:39.699354] IN: SCHED_OK
[2023-09-30 20:43:39.699447] OUT: getcurr -sched 22000000
[2023-09-30 20:43:39.700399] IN: >> getcurr -sched 22000000
[2023-09-30 20:43:39.713287] IN: SCHED_OK
[2023-09-30 20:43:39.713398] OUT: getcurr -sched 22500000
[2023-09-30 20:43:39.714478] IN: >> getcurr -sched 22500000
[2023-09-30 20:43:39.727385] IN: SCHED_OK
[2023-09-30 20:43:39.727556] OUT: getcurr -sched 23000000
[2023-09-30 20:43:39.728624] IN: >> getcurr -sched 23000000
[2023-09-30 20:43:39.740176] IN: SCHED_OK
[2023-09-30 20:43:39.740273] OUT: getcurr -sched 23500000
[2023-09-30 20:43:39.741105] IN: >> getcurr -sched 23500000
[2023-09-30 20:43:39.753874] IN: SCHED_OK
[2023-09-30 20:43:39.753946] OUT: getcurr -sched 24000000
[2023-09-30 20:43:39.755089] IN: >> getcurr -sched 24000000
[2023-09-30 20:43:39.767975] IN: SCHED_OK
[2023-09-30 20:43:39.768085] OUT: getcurr -sched 24500000
[2023-09-30 20:43:39.769206] IN: >> getcurr -sched 24500000
[2023-09-30 20:43:39.782000] IN: SCHED_OK
[2023-09-30 20:43:39.782085] OUT: getcurr -sched 25000000
[2023-09-30 20:43:39.782862] IN: >> getcurr -sched 25000000
[2023-09-30 20:43:39.793435] IN: SCHED_OK
[2023-09-30 20:43:39.793527] OUT: getcurr -sched 25500000
[2023-09-30 20:43:39.794311] IN: >> getcurr -sched 25500000
[2023-09-30 20:43:39.805956] IN: SCHED_OK
[2023-09-30 20:43:39.806041] OUT: getcurr -sched 26000000
[2023-09-30 20:43:39.806983] IN: >> getcurr -sched 26000000
[2023-09-30 20:43:39.819714] IN: SCHED_OK
[2023-09-30 20:43:39.819804] OUT: getcurr -sched 26500000
[2023-09-30 20:43:39.820836] IN: >> getcurr -sched 26500000
[2023-09-30 20:43:39.833628] IN: SCHED_OK
[2023-09-30 20:43:39.833707] OUT: getcurr -sched 27000000
[2023-09-30 20:43:39.834455] IN: >> getcurr -sched 27000000
[2023-09-30 20:43:39.847267] IN: SCHED_OK
[2023-09-30 20:43:39.847370] OUT: getcurr -sched 27500000
[2023-09-30 20:43:39.848255] IN: >> getcurr -sched 27500000
[2023-09-30 20:43:39.861094] IN: SCHED_OK
[2023-09-30 20:43:39.861181] OUT: getcurr -sched 28000000
[2023-09-30 20:43:39.862064] IN: >> getcurr -sched 28000000
[2023-09-30 20:43:39.874857] IN: SCHED_OK
[2023-09-30 20:43:39.874933] OUT: getcurr -sched 28500000
[2023-09-30 20:43:39.875970] IN: >> getcurr -sched 28500000
[2023-09-30 20:43:39.887687] IN: SCHED_OK
[2023-09-30 20:43:39.887781] OUT: getcurr -sched 29000000
[2023-09-30 20:43:39.888716] IN: >> getcurr -sched 29000000
[2023-09-30 20:43:39.901602] IN: SCHED_OK
[2023-09-30 20:43:39.901691] OUT: getcurr -sched 29500000
[2023-09-30 20:43:39.902638] IN: >> getcurr -sched 29500000
[2023-09-30 20:43:39.915464] IN: SCHED_OK
[2023-09-30 20:43:39.915557] OUT: getcurr -sched 30000000
[2023-09-30 20:43:39.916482] IN: >> getcurr -sched 30000000
[2023-09-30 20:43:39.928943] IN: SCHED_OK
[2023-09-30 20:43:39.929036] OUT: getcurr -sched 30500000
[2023-09-30 20:43:39.930076] IN: >> getcurr -sched 30500000
[2023-09-30 20:43:39.942983] IN: SCHED_OK
[2023-09-30 20:43:39.943120] OUT: getcurr -sched 31000000
[2023-09-30 20:43:39.944217] IN: >> getcurr -sched 31000000
[2023-09-30 20:43:39.955727] IN: SCHED_OK
[2023-09-30 20:43:39.955850] OUT: getcurr -sched 31500000
[2023-09-30 20:43:39.956769] IN: >> getcurr -sched 31500000
[2023-09-30 20:43:39.967832] IN: SCHED_OK
[2023-09-30 20:43:39.968005] OUT: getcurr -sched 32000000
[2023-09-30 20:43:39.968985] IN: >> getcurr -sched 32000000
[2023-09-30 20:43:39.981885] IN: SCHED_OK
[2023-09-30 20:43:39.981999] OUT: getcurr -sched 32500000
[2023-09-30 20:43:39.982853] IN: >> getcurr -sched 32500000
[2023-09-30 20:43:39.994853] IN: SCHED_OK
[2023-09-30 20:43:39.995021] OUT: getcurr -sched 33000000
[2023-09-30 20:43:39.995955] IN: >> getcurr -sched 33000000
[2023-09-30 20:43:40.007136] IN: SCHED_OK
[2023-09-30 20:43:40.007197] OUT: getcurr -sched 33500000
[2023-09-30 20:43:40.008046] IN: >> getcurr -sched 33500000
[2023-09-30 20:43:40.020774] IN: SCHED_OK
[2023-09-30 20:43:40.020847] OUT: getcurr -sched 34000000
[2023-09-30 20:43:40.021512] IN: >> getcurr -sched 34000000
[2023-09-30 20:43:40.034352] IN: SCHED_OK
[2023-09-30 20:43:40.034448] OUT: getcurr -sched 34500000
[2023-09-30 20:43:40.035456] IN: >> getcurr -sched 34500000
[2023-09-30 20:43:40.048264] IN: SCHED_OK
